item_id	country	media_type	code	relevant	relevance_500	relevance_100	relevance_1000
90816	Switzerland	Blog	2	0	0.496399	0.556334	0.23013
91262	Australia	Blog	2	0	0	0	0.049879
91691	Turkey	Blog	2	0	0.226069	0.312658	0.143473
91692	Turkey	Blog	2	0	0.309655	0.012988	0.260146
91693	Turkey	Blog	2	0	0.419735	0.072159	0.419252
91694	Turkey	Blog	2	0	0.072379	0.161375	0.057232
91695	Turkey	Blog	2	0	0.101	0	0.074822
91696	Turkey	Blog	2	0	0.049746	0.06809	0.030126
91697	Turkey	Blog	2	0	0.349164	0.211103	0.17492
92495	Australia	Blog	2	0	0.317028	0.177745	0.114294
92505	Turkey	Blog	2	0	0.361108	0.167823	0.170644
92506	Turkey	Blog	2	0	0.092227	0.163987	0.046051
92931	Australia	Blog	2	0	-1	-1	-1
92952	Switzerland	Blog	2	0	0.29524	0.254675	0
93490	Turkey	Blog	2	0	0.10105	0.169808	0.043227
93491	Turkey	Blog	3	0	0.299788	0.308311	0.153334
93492	Turkey	Blog	2	0	0.127872	0	0
93493	Turkey	Blog	2	0	0.114963	0.056351	0.020647
93494	Turkey	Blog	2	0	0.339451	0.655277	0.230135
94894	Australia	Blog	2	0	0.238939	0.197647	0.046227
94900	Turkey	Blog	2	0	0.030454	0.140836	0.081507
95189	Turkey	Blog	4	0	0.512521	0.735843	0.251039
95527	Turkey	Blog	2	0	0.45055	0.575415	0.366427
95788	Australia	Blog	2	0	0.25916	0.044559	0.081826
96043	Australia	Blog	2	0	0.176256	0.065148	0.012732
96685	Australia	Blog	2	0	0.435656	0	0.279536
97174	Australia	Blog	2	0	0.395768	0.041703	0.076986
97189	Turkey	Blog	2	0	0.272399	0.276966	0.20802
97402	Switzerland	Blog	3	0	0.318732	0.313057	0.092711
97603	Switzerland	Blog	2	0	0.380906	0.366198	0.036347
98091	Turkey	Blog	2	0	0.375146	0.258831	0.25734
98383	Australia	Blog	2	0	0.2047	0	0.022392
98996	Turkey	Blog	2	0	0.058647	0.309361	0.146879
98997	Turkey	Blog	2	0	0.200178	0.271769	0.271907
98998	Turkey	Blog	2	0	0.265564	0.259043	0.272376
